fecha,cetes_28
2016-05-10,3.77
2016-05-17,3.81
2016-05-24,3.9
2016-05-31,3.8
2016-06-07,3.78
2016-06-14,3.83
2016-06-21,3.76
2016-06-28,3.86
2016-07-05,4.23
2016-07-12,4.19
2016-07-19,4.21
2016-07-26,4.21
2016-08-02,4.22
2016-08-09,4.22
2016-08-16,4.27
2016-08-23,4.23
2016-08-30,4.29
2016-09-06,4.23
2016-09-13,4.22
2016-09-20,4.27
2016-09-27,4.41
2016-10-04,4.7
2016-10-11,4.7
2016-10-18,4.67
2016-10-25,4.68
2016-10-31,4.75
2016-11-08,4.81
2016-11-15,5.56
2016-11-22,5.48
2016-11-29,5.62
2016-12-06,5.59
2016-12-13,5.51
2016-12-20,5.65
2016-12-27,5.69
2017-01-03,5.82
2017-01-10,5.87
2017-01-17,5.86
2017-01-24,5.77
2017-01-31,5.88
2017-02-07,5.9
2017-02-14,6.21
2017-02-21,6.24
2017-02-28,6.25
2017-03-07,6.29
2017-03-14,6.3
2017-03-21,6.32
2017-03-28,6.43
2017-04-04,6.48
2017-04-10,6.54
2017-04-18,6.47
2017-04-25,6.5
2017-05-02,6.5
2017-05-09,6.49
2017-05-16,6.53
2017-05-23,6.71
2017-05-30,6.72
2017-06-06,6.74
2017-06-13,6.79
2017-06-20,6.87
2017-06-27,6.96
2017-07-04,7.0
2017-07-11,6.98
2017-07-18,6.99
2017-07-25,6.99
2017-08-01,6.99
2017-08-08,6.96
2017-08-15,6.91
2017-08-22,6.92
2017-08-29,6.91
2017-09-05,6.98
2017-09-12,6.98
2017-09-19,6.98
2017-09-26,7.0
2017-10-03,7.03
2017-10-10,7.03
2017-10-17,7.04
2017-10-24,7.02
2017-10-30,7.03
2017-11-07,7.02
2017-11-14,7.01
2017-11-21,7.02
2017-11-28,7.01
2017-12-05,7.02
2017-12-11,7.19
2017-12-19,7.24
2017-12-26,7.22
2018-01-02,7.25
2018-01-09,7.24
2018-01-16,7.24
2018-01-23,7.25
2018-01-30,7.24
2018-02-06,7.35
2018-02-13,7.5
2018-02-20,7.49
2018-02-27,7.47
2018-03-06,7.5
2018-03-13,7.46
2018-03-20,7.44
2018-03-26,7.49
2018-04-03,7.46
2018-04-10,7.47
2018-04-17,7.45
2018-04-24,7.45
2018-04-30,7.47
2018-05-08,7.52
2018-05-15,7.58
2018-05-22,7.51
2018-05-29,7.48
2018-06-05,7.51
2018-06-12,7.62
2018-06-19,7.71
2018-06-26,7.7
2018-07-03,7.72
2018-07-10,7.74
2018-07-17,7.74
2018-07-24,7.72
2018-07-31,7.74
2018-08-07,7.74
2018-08-14,7.74
2018-08-21,7.71
2018-08-28,7.72
2018-09-04,7.7
2018-09-11,7.7
2018-09-18,7.69
2018-09-25,7.65
2018-10-02,7.67
2018-10-09,7.7
2018-10-16,7.65
2018-10-23,7.72
2018-10-30,7.76
2018-11-06,7.71
2018-11-13,7.79
2018-11-20,7.94
2018-11-27,7.97
2018-12-04,7.95
2018-12-10,7.97
2018-12-18,8.0
2018-12-24,8.17
2018-12-31,8.06
2019-01-08,8.0
2019-01-15,7.91
2019-01-22,7.91
2019-01-29,7.86
2019-02-05,7.9
2019-02-12,7.88
2019-02-19,7.85
2019-02-26,8.1
2019-03-07,8.0
2019-03-12,8.09
2019-03-19,8.15
2019-03-26,7.85
2019-04-02,7.8
2019-04-09,7.76
2019-04-15,7.81
2019-04-23,7.75
2019-04-29,8.2
2019-05-07,8.02
2019-05-14,8.05
2019-05-21,8.03
2019-05-28,8.05
2019-06-04,8.3
2019-06-11,8.28
2019-06-18,8.24
2019-06-25,8.18
2019-07-02,8.1
2019-07-09,8.17
2019-07-16,8.13
2019-07-23,8.15
2019-07-30,8.01
2019-08-06,8.15
2019-08-13,8.05
2019-08-20,7.96
2019-08-27,7.87
2019-09-03,7.81
2019-09-10,7.72
2019-09-17,7.72
2019-09-24,7.61
2019-10-01,7.65
2019-10-08,7.7
2019-10-15,7.67
2019-10-22,7.65
2019-10-29,7.62
2019-11-05,7.55
2019-11-12,7.45
2019-11-19,7.43
2019-11-26,7.46
2019-12-03,7.4
2019-12-09,7.04
2019-12-17,6.8
2019-12-23,7.25
2019-12-30,7.25
2020-01-07,7.26
2020-01-14,7.0
2020-01-21,7.05
2020-01-28,7.04
2020-02-04,6.99
2020-02-11,7.0
2020-02-18,6.95
2020-02-25,6.91
2020-03-03,6.7
2020-03-10,6.81
2020-03-17,7.15
2020-03-24,6.59
2020-03-31,6.39
2020-04-06,6.23
2020-04-14,6.0
2020-04-21,6.0
2020-04-28,5.84
2020-05-05,5.7
2020-05-12,5.39
2020-05-19,5.39
2020-05-26,5.38
2020-06-02,5.27
2020-06-09,5.15
2020-06-16,4.98
2020-06-23,4.85
2020-06-30,4.81
2020-07-07,4.95
2020-07-14,4.9
2020-07-21,4.8
2020-07-28,4.63
2020-08-04,4.53
2020-08-11,4.48
2020-08-18,4.43
2020-08-25,4.5
2020-09-01,4.42
2020-09-08,4.41
2020-09-14,4.45
2020-09-22,4.25
2020-09-29,4.18
2020-10-06,4.26
2020-10-13,4.22
2020-10-20,4.14
2020-10-27,4.22
2020-11-03,4.25
2020-11-10,4.14
2020-11-17,4.24
2020-11-24,4.28
2020-12-01,4.35
2020-12-08,4.26
2020-12-15,4.23
2020-12-22,4.27
2020-12-29,4.24
2021-01-05,4.28
2021-01-12,4.19
2021-01-19,4.19
2021-01-26,4.22
2021-02-02,4.24
2021-02-09,4.19
2021-02-16,4.01
2021-02-23,4.02
2021-03-02,4.06
2021-03-09,4.05
2021-03-16,4.05
2021-03-23,4.03
2021-03-29,4.08
2021-04-06,4.07
2021-04-13,4.07
2021-04-20,4.06
2021-04-27,4.06
2021-05-04,4.07
2021-05-11,4.06
2021-05-18,4.05
2021-05-25,4.07
2021-06-01,4.02
2021-06-08,4.04
2021-06-15,4.0
2021-06-22,4.03
2021-06-29,4.3
2021-07-06,4.3
2021-07-13,4.3
2021-07-20,4.33
2021-07-27,4.35
2021-08-03,4.33
2021-08-10,4.5
2021-08-17,4.5
2021-08-24,4.49
2021-08-31,4.39
2021-09-07,4.49
